i, T, density, len(birds), gvel, orderparam
0, 0.0, 400.0, 400, 1.0, 0.992327332496643
0, 0.0, 400.0, 400, 1.0, 0.992338776588439
0, 0.1111111119389534, 400.0, 400, 1.0, 0.990785062313079
0, 0.2222222238779068, 400.0, 400, 1.0, 0.989312708377838
0, 0.3333333432674408, 400.0, 400, 1.0, 0.990739464759826
0, 0.4444444477558136, 400.0, 400, 1.0, 0.991190731525421
0, 0.5555555820465088, 400.0, 400, 1.0, 0.946837723255157
0, 0.6666666865348816, 400.0, 400, 1.0, 0.892344951629638
0, 0.7777777910232544, 400.0, 400, 1.0, 0.589893400669097
0, 0.8888888955116272, 400.0, 400, 1.0, 0.287686079740524
